Sublibrary,Gene_symbol,Entrez_ID
Transcription factors,,
Controls,,
Misc / controls,,
Misc / changed TFs,,
Misc / unassigned,,
GPCRs,,
Secretome,,
Membrane Proteins,,
Kinases/Phosphatases/Drug Targets,,
Mitochondria/Trafficking/Motility,,
Stress/Proteostasis,,
Cancer/Apoptosis,,
Gene Expression,,
Unassigned,,
Transcription factors,IRX6,
Transcription factors,NFE2,
Transcription factors,NEUROD6,
Transcription factors,IRX5,
Transcription factors,DMRT2,
Transcription factors,ARID3B,
Transcription factors,PDX1,
Transcription factors,FERD3L,
Transcription factors,THYN1,
Transcription factors,KLF16,
Transcription factors,ZNF230,
Transcription factors,IRX1,
Transcription factors,ZSCAN20,
Transcription factors,KCNIP3,
Transcription factors,SP9,
Transcription factors,HOXB6,
Transcription factors,ZNF180,
Transcription factors,ZNF350,
Transcription factors,HNF1B,
Transcription factors,ZNF641,
Transcription factors,FOXB2,
Transcription factors,SIM2,
Transcription factors,HOXC5,
Transcription factors,ARGFX,
Transcription factors,LIN28A,
Transcription factors,ALX4,
Transcription factors,ZNF365,
Transcription factors,PITX1,
Transcription factors,ZNF248,
Transcription factors,HSF5,
Transcription factors,TP53,
Transcription factors,IKZF5,
Transcription factors,CDX4,
Transcription factors,ZNF883,
Transcription factors,ETV1,
Transcription factors,SOX7,
Transcription factors,ASCL3,
Transcription factors,ZNF438,
Transcription factors,MYNN,
Transcription factors,CENPX,
Transcription factors,ATOH7,
Transcription factors,ZNF524,
Transcription factors,ZNF45,
Transcription factors,PREB,
Transcription factors,ZNF337,
Transcription factors,STAT3,
Transcription factors,AHR,
Transcription factors,ZNF620,
Transcription factors,ZNF235,
Transcription factors,SATB2,
Transcription factors,HOXB8,
Transcription factors,E2F5,
Transcription factors,ZNF98,
Transcription factors,SOX21,
Transcription factors,ZKSCAN8,
Transcription factors,ZNF497,
Transcription factors,POU2F2,
Transcription factors,ZNF787,
Transcription factors,PAX8,
Transcription factors,CXXC1,
Transcription factors,ATOH1,
Transcription factors,MXI1,
Transcription factors,ZNF705A,
Transcription factors,GFI1,
Transcription factors,MEIS3,
Transcription factors,USF2,
Transcription factors,HMG20B,
Transcription factors,IRF6,
